allBanksEver1,allBanksEver2,allBanksEver3,allBanksEver4,allBanksEver5,allBanksEver6,allBanksEver7,allBanksEver8,allBanksEver9,allBanksEver10
37,NaN,10057,BANK OF HANCOCK COUNTY,321 BROAD STREET ,SPARTA,GA,31087,041,
242,NaN,3850,"FIRST NATIONAL BANK OF XENIA, THE",FRONT STREET ,XENIA,IL,62899,041,
279,NaN,28868,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD ,MINEOLA,TX,75773,041,
354,NaN,14083,BISON STATE BANK,MAIN AND WALNUT ,BISON,KS,67520,041,
439,NaN,16498,PEOPLES BANK,MAIN STREET ,BLACKSHEAR,GA,31516,041,
457,NaN,10202,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349,041,
505,NaN,6959,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020,041,
1146,NaN,17562,PULASKI BANK AND TRUST COMPANY,5800 R STREET ,LITTLE ROCK,AR,72207,041,
1155,NaN,17639,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD ,FREMONT,NE,68025,041,
1351,NaN,9392,BANK OF GRANDIN,MAIN STREET ,GRANDIN,MO,63943,041,
1454,NaN,19184,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609,041,
1557,NaN,15328,"FIRST STATE BANK, KIOWA, KANSAS, THE",546 MAIN STREET ,KIOWA,KS,67070,041,
1632,NaN,5707,SEA ISLAND BANK,2 EAST MAIN STREET ,STATESBORO,GA,30458,041,
1669,NaN,3384,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVE ,PARIS,TX,75460,041,
1829,NaN,6058,ALLEGHENY VALLEY BANK OF PITTSBURGH,5137-39 BUTLER ST ,PITTSBURGH,PA,15201,041,
1856,NaN,22430,WASHITA STATE BANK,HIGHWAY 44 SOUTH ,BURNS FLAT,OK,73624,041,
1959,NaN,9655,SECURITY STATE BANK,315 BIRD AVENUE ,BIRD CITY,KS,67731,041,
2040,NaN,13046,FARMERS & MERCHANTS BANK,1001 SUPERIOR AVENUE ,TOMAH,WI,54660,041,
2161,NaN,23597,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,754611097,041,
2376,NaN,28866,ORITANI SAVINGS BANK,321 MAIN ST ,HACKENSACK,NJ,07601,041,
2451,NaN,10506,BEVERLY STATE BANK,FIRST AND MAIN ,BEVERLY,KS,67423,041,
2554,NaN,18525,STATE BANK OF MARIETTA,MAIN ST. ,MARIETTA,MN,56257,041,
2732,NaN,17230,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625,041,
2750,NaN,5408,GENOA NATIONAL BANK,502 WILLIARD AVENUE ,GENOA,NE,68640,041,
2938,NaN,20246,SECURITY BANK AND TRUST COMPANY OF ALBANY,401 PINE AVE ,ALBANY,GA,31701,041,
2956,NaN,1949,CITIZENS HOME BANK,2 NORTH MAIN ,GREENFIELD,MO,65661,041,
3177,NaN,30273,OCEAN CITY HOME BANK,1001 ASBURY AVENUE ,OCEAN CITY,NJ,08226,041,
